n,tasks,time
10000000,1,0.141148
10000000,1,0.137971
10000000,1,0.137663
10000000,1,0.139573
10000000,1,0.164530
10000000,1,0.148312
10000000,1,0.149393
10000000,1,0.149368
10000000,1,0.150245
10000000,1,0.150351
10000000,1,0.160402
10000000,1,0.146523
10000000,2,0.072510
10000000,2,0.070788
10000000,2,0.072667
10000000,2,0.072003
10000000,2,0.096128
10000000,2,0.099828
10000000,2,0.098143
10000000,2,0.095681
10000000,2,0.095965
10000000,2,0.095933
10000000,2,0.099813
10000000,2,0.097328
10000000,4,0.038812
10000000,4,0.037396
10000000,4,0.037196
10000000,4,0.037283
10000000,4,0.060145
10000000,4,0.065253
10000000,4,0.061501
10000000,4,0.056957
10000000,4,0.064667
10000000,4,0.064514
10000000,4,0.060356
10000000,4,0.064630
10000000,8,0.049450
10000000,8,0.085412
10000000,8,0.047992
10000000,8,0.048213
10000000,8,0.030710
10000000,8,0.051990
10000000,8,0.045437
10000000,8,0.048664
10000000,8,0.043364
10000000,8,0.051255
10000000,8,0.048409
10000000,8,0.043983
10000000,16,0.109979
10000000,16,0.145763
10000000,16,0.121935
10000000,16,0.097941
10000000,16,0.049939
10000000,16,0.045954
10000000,16,0.051122
10000000,16,0.057942
10000000,16,0.059175
10000000,16,0.080706
10000000,16,0.057480
10000000,16,0.049322
100000000,1,1.357767
100000000,1,1.362782
100000000,1,1.355357
100000000,1,1.353553
100000000,1,1.364514
100000000,1,1.361550
100000000,1,1.369162
100000000,1,1.365144
100000000,1,1.369562
100000000,1,1.362110
100000000,1,1.351194
100000000,1,1.356062
100000000,2,0.700922
100000000,2,0.701496
100000000,2,0.704009
100000000,2,0.698694
100000000,2,0.701981
100000000,2,0.691319
100000000,2,0.692979
100000000,2,0.687948
100000000,2,0.686107
100000000,2,0.673404
100000000,2,0.693347
100000000,2,0.691331
100000000,4,0.371878
100000000,4,0.370334
100000000,4,0.368355
100000000,4,0.369264
100000000,4,0.358300
100000000,4,0.358459
100000000,4,0.355024
100000000,4,0.376229
100000000,4,0.368982
100000000,4,0.366155
100000000,4,0.365337
100000000,4,0.368970
100000000,8,0.420100
100000000,8,0.385949
100000000,8,0.397981
100000000,8,0.422622
100000000,8,0.193809
100000000,8,0.207139
100000000,8,0.195143
100000000,8,0.201506
100000000,8,0.207127
100000000,8,0.208880
100000000,8,0.202961
100000000,8,0.203533
100000000,16,0.480861
100000000,16,0.482005
100000000,16,0.437982
100000000,16,0.449983
100000000,16,0.244945
100000000,16,0.229945
100000000,16,0.238034
100000000,16,0.230017
100000000,16,0.241436
100000000,16,0.217218
100000000,16,0.206186
100000000,16,0.219124
1000000000,1,13.547475
1000000000,1,13.538191
1000000000,1,13.507656
1000000000,1,13.631431
1000000000,1,13.464735
1000000000,1,13.521047
1000000000,1,13.478800
1000000000,1,13.521261
1000000000,1,13.487089
1000000000,1,13.504403
1000000000,1,13.450420
1000000000,1,13.460731
1000000000,2,6.977133
1000000000,2,6.996457
1000000000,2,6.979897
1000000000,2,6.994657
1000000000,2,6.755083
1000000000,2,6.746542
1000000000,2,6.744918
1000000000,2,6.753257
1000000000,2,6.801041
1000000000,2,6.760080
1000000000,2,6.741381
1000000000,2,6.778474
1000000000,4,3.693841
1000000000,4,3.674600
1000000000,4,3.688587
1000000000,4,3.705247
1000000000,4,3.515256
1000000000,4,3.511163
1000000000,4,3.510978
1000000000,4,3.507653
1000000000,4,3.635251
1000000000,4,3.620876
1000000000,4,3.655797
1000000000,4,3.625701
1000000000,8,3.717942
1000000000,8,3.734245
1000000000,8,3.794023
1000000000,8,3.853924
1000000000,8,1.862037
1000000000,8,1.858048
1000000000,8,1.846709
1000000000,8,1.856905
1000000000,8,1.837610
1000000000,8,1.852898
1000000000,8,1.839286
1000000000,8,1.847711
1000000000,16,3.762009
1000000000,16,3.847989
1000000000,16,3.724516
1000000000,16,3.789967
1000000000,16,1.882053
1000000000,16,1.857953
1000000000,16,1.921948
1000000000,16,1.873949
1000000000,16,1.481728
1000000000,16,1.462460
1000000000,16,1.699410
1000000000,16,1.485541
5000000000,1,67.619797
5000000000,1,67.920842
5000000000,1,67.797419
5000000000,1,67.527967
5000000000,1,67.405130
5000000000,1,67.277019
5000000000,1,67.441505
5000000000,1,67.564053
5000000000,1,67.358509
5000000000,1,67.301144
5000000000,1,67.315174
5000000000,1,67.594702
5000000000,2,34.900029
5000000000,2,34.999235
5000000000,2,34.995892
5000000000,2,34.784666
5000000000,2,33.690325
5000000000,2,33.849817
5000000000,2,33.660396
5000000000,2,33.734977
5000000000,2,33.708916
5000000000,2,33.705298
5000000000,2,33.725102
5000000000,2,33.638753
5000000000,4,18.427058
5000000000,4,18.413627
5000000000,4,18.389525
5000000000,4,18.380438
5000000000,4,17.479698
5000000000,4,17.449166
5000000000,4,17.422327
5000000000,4,17.521691
5000000000,4,18.165120
5000000000,4,18.176439
5000000000,4,18.219321
5000000000,4,18.262439
5000000000,8,18.509935
5000000000,8,18.518819
5000000000,8,18.485928
5000000000,8,18.413993
5000000000,8,9.255908
5000000000,8,9.254164
5000000000,8,9.284181
5000000000,8,9.216588
5000000000,8,9.202910
5000000000,8,9.669990
5000000000,8,11.043381
5000000000,8,11.501910
5000000000,16,18.533904
5000000000,16,18.649970
5000000000,16,18.545938
5000000000,16,18.506061
5000000000,16,9.294008
5000000000,16,9.281936
5000000000,16,9.218005
5000000000,16,9.321978
5000000000,16,8.286430
5000000000,16,8.494088
5000000000,16,7.896606
5000000000,16,7.628159
10000000000,1,135.649930
10000000000,1,135.255072
10000000000,1,134.901212
10000000000,1,135.270397
10000000000,1,134.794822
10000000000,1,135.075326
10000000000,1,135.430370
10000000000,1,135.182027
10000000000,1,135.298951
10000000000,1,135.053894
10000000000,1,135.546266
10000000000,1,135.572594
10000000000,2,69.803747
10000000000,2,69.695379
10000000000,2,69.966881
10000000000,2,69.744566
10000000000,2,67.644030
10000000000,2,73.527748
10000000000,2,67.286688
10000000000,2,67.897908
10000000000,2,67.407435
10000000000,2,67.331655
10000000000,2,67.451229
10000000000,2,67.559690
10000000000,4,36.816333
10000000000,4,36.854448
10000000000,4,36.818918
10000000000,4,36.729293
10000000000,4,34.830190
10000000000,4,34.839060
10000000000,4,35.151227
10000000000,4,34.837689
10000000000,4,36.382473
10000000000,4,36.519180
10000000000,4,36.280751
10000000000,4,36.343989
10000000000,8,36.861932
10000000000,8,36.870036
10000000000,8,36.893940
10000000000,8,36.837764
10000000000,8,18.555372
10000000000,8,18.542732
10000000000,8,18.443230
10000000000,8,18.531302
10000000000,8,18.347587
10000000000,8,18.433553
10000000000,8,18.441626
10000000000,8,18.465681
10000000000,16,36.951922
10000000000,16,37.037979
10000000000,16,36.945066
10000000000,16,36.945954
10000000000,16,18.538126
10000000000,16,18.501948
10000000000,16,18.553932
10000000000,16,18.617698
10000000000,16,12.904986
10000000000,16,13.345407
10000000000,16,13.241896
10000000000,16,13.271885
